date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:55	22234/22234	U-----	200	untouched ('OK')	text/html	etag:W/%224d6c62dd-56da%22	http://edu.nstu.ru/courses/saod/	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/index.html	(from )
21:30:55	5299/5299	---MCZ	200	added ('OK')	text/css	etag:W/%224d6c63ee-14b3%22	http://edu.nstu.ru/courses/saod/_themes/my-index/my-i1111.css	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my-index/my-i1111.css	(from http://edu.nstu.ru/courses/saod/)
21:30:55	193/193	---M--	200	added ('OK')	image/gif	etag:%224d6c62ee-c1%22	http://edu.nstu.ru/courses/saod/_derived/content.htm_cmp_my-index110_hbtn.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/content.htm_cmp_my-index110_hbtn.gif	(from http://edu.nstu.ru/courses/saod/)
21:30:56	193/193	---M--	200	added ('OK')	image/gif	etag:%224d6c62ee-c1%22	http://edu.nstu.ru/courses/saod/_derived/content.htm_cmp_my-index110_hbtn_a.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/content.htm_cmp_my-index110_hbtn_a.gif	(from http://edu.nstu.ru/courses/saod/)
21:30:56	31438/31438	---MCZ	200	added ('OK')	text/html	etag:W/%224d6c62da-7ace%22	http://edu.nstu.ru/courses/saod/content.htm	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/content.html	(from http://edu.nstu.ru/courses/saod/)
21:30:56	180/180	---M--	200	added ('OK')	image/gif	etag:%224d6c62fa-b4%22	http://edu.nstu.ru/courses/saod/_derived/testing.htm_cmp_my-index110_hbtn.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/testing.htm_cmp_my-index110_hbtn.gif	(from http://edu.nstu.ru/courses/saod/)
21:30:56	33998/33998	---M--	200	added ('OK')	image/jpeg	etag:%224d6c67aa-84ce%22	http://edu.nstu.ru/courses/saod/images/buner1.jpg	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/buner1.jpg	(from http://edu.nstu.ru/courses/saod/)
21:30:56	180/180	---M--	200	added ('OK')	image/gif	etag:%224d6c62fa-b4%22	http://edu.nstu.ru/courses/saod/_derived/testing.htm_cmp_my-index110_hbtn_a.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/testing.htm_cmp_my-index110_hbtn_a.gif	(from http://edu.nstu.ru/courses/saod/)
21:30:57	19400/19400	---MCZ	200	added ('OK')	text/html	etag:W/%224d6c62eb-4bc8%22	http://edu.nstu.ru/courses/saod/testing.htm	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/testing.html	(from http://edu.nstu.ru/courses/saod/)
21:30:57	253/253	---M--	200	added ('OK')	image/gif	etag:%224d6c62fa-fd%22	http://edu.nstu.ru/courses/saod/_derived/visualisator.htm_cmp_my-index110_hbtn.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/visualisator.htm_cmp_my-index110_hbtn.gif	(from http://edu.nstu.ru/courses/saod/)
